cedulaIdentidad,idAlumno,nombre,apellido,fechaNacimiento,fechaIngreso,idCohorte
182603,806,Freddi,Grisedale,1990-02-11,2021-05-12,944
998841,914,Der,Standbrooke,1998-08-26,2021-08-11,319
640260,688,Nanni,Chicchelli,1993-10-01,2021-10-02,754
703245,553,Daphna,Hubery,1994-01-07,2021-05-08,37
385900,146,Leora,Godwyn,2001-01-03,2021-06-27,191
846590,989,Winn,Crocetti,2001-01-03,2021-12-05,242
489140,925,Bradney,Morville,1998-03-13,2021-08-30,480
850855,494,Allina,Espinho,1992-07-17,2021-11-13,43
826907,441,Elliott,Shakspeare,2001-06-27,2021-12-29,446
588295,56,Kristi,Theobald,1992-03-20,2021-04-24,814
175703,233,Doe,Harroll,1996-01-13,2021-03-13,76
240804,993,Diahann,Pamphilon,1992-04-02,2021-04-13,455
635916,242,Albertina,Rosekilly,1991-05-02,2021-12-16,331
299363,478,Carlie,Deverall,1995-11-27,2021-12-19,605
483429,281,Tris,Vanyukov,1994-11-10,2021-04-12,780
578659,26,Marianne,Zoren,1992-02-12,2021-05-15,948
624953,490,Art,Bedham,1994-06-07,2021-05-25,216
498363,902,Zea,Altofts,1990-07-01,2021-01-28,750
193075,372,Way,Medlar,1997-11-14,2021-08-18,537
268554,126,Timmie,Nickels,2000-10-03,2021-02-21,291
421800,10,Marlow,Dusting,1996-12-11,2021-10-17,80
450588,118,Forster,Gravenor,2000-05-22,2021-06-17,635
969715,632,Burnard,Wickens,1994-11-25,2021-12-22,87
199898,354,Bari,Gummer,1997-05-09,2021-04-17,423
695599,236,Nikkie,Hixley,1995-09-23,2021-10-20,450
996685,460,Nicol,Barstow,1990-06-03,2021-07-28,868
863252,716,Francklin,Reiners,2001-12-05,2021-01-15,629
769279,423,Gleda,Alyonov,1995-09-11,2021-02-02,741
271417,202,Fabien,Crolla,1993-11-20,2021-07-31,899
442585,47,Michal,Claughton,2000-06-08,2021-07-22,376
633855,633,Trumaine,Phelan,1999-03-18,2021-04-27,677
345520,761,Benjy,Mobbs,1992-04-08,2021-11-17,893
188707,501,Briano,Kyles,2000-09-19,2021-12-04,477
781409,175,Lola,Pape,1997-11-20,2021-05-22,1000
353190,183,Simona,Abendroth,2000-10-26,2022-01-01,737
529935,413,Evita,Rosser,2001-11-07,2021-02-05,598
783889,517,Gussy,Ware,1998-01-23,2021-07-26,601
299552,687,Orlan,Leile,1998-09-01,2021-07-17,338
227327,43,Rosalie,Poizer,1990-08-15,2021-09-20,135
127299,58,Doe,Kinvig,1996-06-20,2021-09-28,928
99582,684,Chester,Goater,1998-08-12,2021-12-15,889
50216,732,Roxane,Grimshaw,1997-03-07,2021-09-15,13
279272,467,Vlad,Ruffler,1990-08-18,2021-02-23,822
911861,335,Kissie,Dovinson,1994-03-05,2021-05-26,586
609077,227,Kelci,Branson,1995-03-11,2021-03-10,154
726506,248,Catrina,McGuff,1991-11-06,2021-05-30,885
387420,502,Rex,Brandenberg,1997-11-22,2021-12-26,91
732522,882,Lita,Ratchford,1995-06-26,2021-10-19,233
597678,809,Cristina,Houson,1995-06-05,2021-03-03,125
37939,720,Konstantine,Memory,1994-09-16,2021-03-26,838
58002,11,Grace,Mancell,1991-02-09,2021-07-13,971
982051,230,Joleen,Chaldecott,1997-03-01,2021-07-13,259
856508,695,Martina,Kinrade,1995-03-25,2021-10-01,252
445951,343,Blondell,McCuffie,1990-08-09,2021-06-09,168
478613,490,Sharia,Trett,1992-11-13,2021-01-16,151
82827,632,Averell,Mc Pake,2000-02-02,2021-08-20,282
562365,897,Nicolle,Bowser,1995-07-20,2021-06-19,911
309355,79,Shurlocke,Brumham,1992-04-02,2021-07-21,150
746955,328,Tarra,Bettley,1993-07-01,2021-07-01,117
986028,644,Brunhilde,Bossom,1994-03-04,2021-05-29,251
990854,385,Arlena,Guillet,1997-10-28,2021-12-19,617
949369,372,Korney,Pozzo,1994-06-17,2021-01-28,979
613122,435,Mercie,Rignoldes,1991-06-24,2021-11-24,293
74862,679,Erwin,Gimbart,2000-09-12,2021-07-29,470
494466,330,Roseanne,Harfleet,2001-09-10,2021-12-08,598
663758,293,Lyn,Rubenov,2001-06-17,2021-02-10,692
632517,293,Aaren,Collie,1998-12-12,2021-07-28,416
996537,599,Dorrie,Munslow,2000-10-19,2021-10-11,760
868316,561,Caressa,Barbey,1993-04-11,2021-02-14,453
619949,726,Christine,Eyree,1991-03-14,2021-06-01,421
815695,286,Shaun,Reedie,1996-11-22,2021-11-05,439
289780,695,Launce,Pirolini,2000-03-19,2021-06-12,757
227437,720,Leeland,Kail,1993-08-04,2021-11-15,124
864578,786,Ranice,Priest,1995-11-02,2021-10-02,479
67687,534,Randal,Climo,2001-06-05,2021-03-18,104
139880,258,Cherin,Fullick,1990-11-06,2021-03-24,372
483973,181,Lynde,Batrick,2000-02-13,2021-09-14,746
459281,732,Slade,Reddoch,2000-01-15,2021-11-15,728
83335,400,Gwen,Pahler,1995-06-03,2021-10-15,346
615564,105,Georgeanne,Tarburn,1991-04-04,2021-11-10,146
1147,766,Chastity,Blakeslee,1994-06-08,2021-11-03,862
352062,569,Trueman,Botright,1998-09-25,2021-09-12,272
42389,934,Martie,Durbyn,1993-07-18,2021-08-02,249
168646,214,Aurelie,Fusedale,1990-06-15,2021-02-24,780
806532,67,Lilli,Clows,1998-12-21,2021-03-12,862
289793,851,Anestassia,Reynoollds,2000-11-05,2021-10-09,970
641177,994,Genovera,Heugle,1995-06-08,2021-08-19,471
644859,426,Nathalia,Arter,1991-01-11,2021-06-29,871
931152,373,Kelwin,Dyhouse,1996-02-22,2021-05-08,113
624446,572,Eldredge,Conew,1993-05-27,2021-08-26,596
320104,768,Terri,Philimore,1992-01-27,2021-09-02,46
765307,43,Leese,Orbon,1997-12-06,2021-04-25,79
692563,94,Petronia,Bobasch,1997-02-15,2021-03-16,220
282338,738,Danica,Clelle,1991-07-01,2021-01-13,129
489,599,Buffy,Zaniolo,2001-08-14,2021-09-23,644
72400,175,Nat,Luna,1990-01-10,2021-06-16,297
638710,920,Raviv,Petrushanko,1997-03-19,2021-09-22,8
503889,527,Abrahan,Caldicot,1999-03-04,2021-10-16,483
687604,174,Brit,McCuis,1997-12-05,2021-07-03,149
95433,357,Laney,Brooksby,1995-05-05,2021-07-27,169
